 : Ensemble des loyers du parc privé
Loyer mensuel hors charges en €/m²
Type de logement : Tous
Epoque de construction : Tous
Périmètre d'observation : 
Année : 2025

"Observatoire";"Année";"Périmètre d'observation";"Zone de calcul";"Valeur basse du loyer au m²";"1er quartile du loyer au m²";"Mediane du loyer au m²";"3ème  quartile du loyer au m²";"Valeur haute du loyer au m²";"Moyenne du loyer au m²";"Valeur basse du loyer mensuel";"1er quartile du loyer mensuel";"Loyer mensuel médiane";"3ème quartile du loyer mensuel";"Valeur haute du loyer mensuel";"Moyenne du loyer mensuel";"Surface moyenne";"Nombre d'observations";"Nombre de logements";"Méthodologie de production"
"B7300";2025;"Agglomération d'Aix-les-Bains";"ALL";9.3;11;12.6;14.5;16.9;12.2;496;590;725;900;1161;786;65;1904;7389;"Estimation directe"
"B2A00";2025;"Agglomération d'Ajaccio";"ALL";8.8;10;12;14.5;17;11.9;550;661;795;950;1203;849;71;2739;11693;"Estimation directe"
"B6100";2025;"Agglomération d'Alençon";"ALL";5.9;6.9;8.3;10;12.1;7.8;310;385;481;620;722;503;64;1199;5346;"Estimation directe"
"B3000";2025;"Agglomération d'Alès";"ALL";6.2;7.2;8.4;9.9;11.6;8.2;400;481;600;750;850;614;75;1885;15897;"Estimation directe"
"B7400";2025;"Agglomération d'Annecy";"ALL";11.2;12.7;14.5;17.1;19.5;14.4;536;657;808;1020;1350;888;62;3219;19141;"Estimation directe"
"B7400";2025;"Agglomération d'Annemasse";"ALL";10.9;13.3;15.5;18.5;21.4;15.3;560;705;909;1200;1570;1012;66;5589;18488;"Estimation directe"
"B2500";2025;"Agglomération de Besançon";"ALL";7.6;8.9;10.5;12.7;14.8;10.1;383;460;560;680;825;595;59;4887;20164;"Estimation directe"
"B2900";2025;"Agglomération de Brest";"ALL";7.4;8.6;9.9;11.7;14.2;9.5;354;435;535;674;840;574;60;4341;27162;"Estimation directe"
"B3600";2025;"Agglomération de Châteauroux";"ALL";6.1;7;8.1;9.5;11;7.9;370;439;550;700;800;573;73;1991;5623;"Estimation directe"
"B7400";2025;"Agglomération de Cluses";"ALL";8.8;10.1;11.8;13.8;16.1;11.4;500;590;700;868;1138;764;67;1284;8565;"Estimation directe"
"B8300";2025;"Agglomération de Draguignan";"ALL";7.6;9.1;10.9;13.2;15.6;10.7;450;550;650;800;1074;714;67;1002;11742;"Estimation directe"
"B8300";2025;"Agglomération de Fréjus";"ALL";10;12;14;16.3;19.1;13.4;507;612;719;900;1150;788;59;4392;14802;"Estimation directe"
"B8200";2025;"Agglomération de la CC de Grand Sud Tarn-et-Garonne et Terre des confluences";"ALL";5.8;6.7;8;9.7;11.4;7.7;400;488;609;750;862;626;81;1081;7673;"Estimation directe"
"B8200";2025;"Agglomération de Montauban";"ALL";6.7;7.8;9;10.4;12.5;8.6;370;456;571;760;880;605;70;2571;9955;"Estimation directe"
"B2500";2025;"Agglomération de Montbéliard";"ALL";5.9;6.8;8.2;9.6;11.2;7.9;381;440;530;664;820;574;73;1324;7372;"Estimation directe"
"B3400";2025;"Agglomération de Montpellier";"ALL";10;11.7;13.7;16.2;19.3;13;450;539;664;828;1050;716;55;23885;83979;"Estimation directe"
"B4400";2025;"Agglomération de Nantes";"ALL";9.5;10.8;12.2;14;16.8;11.9;437;518;610;760;980;672;56;19792;87173;"Estimation directe"
"B3000";2025;"Agglomération de Nîmes";"ALL";7.9;9.3;10.7;12.3;14.1;10.2;410;500;609;765;950;649;63;8240;34131;"Estimation directe"
"B7900";2025;"Agglomération de Niort";"ALL";6.2;7.3;8.7;10.4;12.5;8.3;383;480;600;730;840;611;73;3677;12992;"Estimation directe"
"B3401";2025;"Agglomération de Sète";"ALL";8.5;9.9;11.5;13.3;15;10.9;432;529;630;800;1090;707;65;3121;16325;"Estimation directe"
"B7400";2025;"Agglomération de Thonon";"ALL";9.6;11.4;13.1;14.9;17.1;12.6;500;600;750;980;1345;845;67;2925;11742;"Estimation directe"
"B8300";2025;"Agglomération de Toulon";"ALL";9.3;10.9;12.9;15.2;17.8;12.6;480;571;697;850;1100;752;60;17847;78935;"Estimation directe"
"B3100";2025;"Agglomération de Toulouse";"ALL";9.2;10.5;11.9;14;17.2;11.7;450;520;625;776;1000;684;59;39064;172235;"Estimation directe"
"B3700";2025;"Agglomération de Tours";"ALL";8.4;10;11.5;13.3;15.9;10.9;390;490;593;734;935;640;59;12940;39196;"Estimation directe"
"B7100";2025;"Agglomération du Grand Chalon";"ALL";6.8;7.5;8.9;10.1;11.6;8.5;380;455;550;731;897;605;71;1609;18864;"Estimation directe"
"B7101";2025;"Agglomération du Mâconnais Beaujolais";"ALL";6.6;7.5;8.8;10.3;11.8;8.6;390;467;590;774;902;626;73;1994;7363;"Estimation directe"
"B5600";2025;"Auray Quiberon Terre Atlantique - communes littorales";"ALL";7.4;8.6;10.2;12.2;15;9.8;430;500;625;790;950;666;68;709;0;"Estimation directe"
"B7901";2025;"Communauté d'agglomération du Bocage Bressuirais";"ALL";5.2;5.8;7;8.1;9.6;6.8;372;447;550;649;760;554;82;718;5284;"Estimation directe"
"B7902";2025;"Communautés de communes Mellois en Poitou et Haut Val de Sèvres";"ALL";4.4;5.4;6.3;7.7;9.6;6.1;400;480;590;660;770;580;96;729;5541;"Estimation directe"
"B6700";2025;"Eurométropole de Strasbourg";"ALL";8.2;9.6;11.6;14;17;11.1;433;536;660;800;1000;709;64;15105;79975;"Estimation directe"
"B8300";2025;"Golfe de Saint-Tropez";"ALL";9.2;12;14.6;17.2;20.1;14;500;650;800;1016;1300;873;62;1444;7002;"Estimation directe"
"B5600";2025;"Golfe du Morbihan - Vannes Agglomération - communes littorales";"ALL";7.6;9.3;10.9;12.7;15.6;10.5;400;490;610;780;1050;673;64;2680;14796;"Estimation directe"
"B7300";2025;"Grand Chambéry et Cœur de Savoie";"ALL";8.6;10;11.6;13.5;15.8;11.1;482;580;701;850;1047;746;67;3430;13134;"Estimation directe"
"B8300";2025;"Haut Var";"ALL";6.8;8.8;10.9;12.9;14.6;10.4;410;570;780;1000;1176;803;77;387;5190;"Estimation directe"
"B5600";2025;"Morbihan - communes rurales";"ALL";7.1;8.2;9.5;10.8;12.4;9.2;438;530;670;859;1045;710;77;1009;0;"Estimation directe"
"B5600";2025;"Pays de Lorient - communes littorales";"ALL";7.6;8.9;10.4;12.2;14.4;9.9;400;490;590;752;950;649;66;2233;0;"Estimation directe"
"B8300";2025;"Porte des Maures et Moyen Var";"ALL";8.3;9.6;11.5;13.3;15.9;11.1;457;560;700;890;1129;753;68;3606;17319;"Estimation directe"
